ID,Nombre,Tipo,Ubicacion,PrecioPromedio,Estado,HoraApertura,HoraCierre
1,Chilaquiles,Comida Rapida,Media Luna,50.00,Abierto,08:00,18:00
2,Capricho,Comida Rapida,Media Luna,50.00,Abierto,08:00,19:00
3,Snack Station,Comida Rapida,Media Luna,50.00,Abierto,08:00,18:00
4,Lulú,Comida Rapida,Media Luna,50.00,Abierto,06:30,17:30
5,Chapatas Y Enchiladas,Comida Rapida,Media Luna,50.00,Abierto,08:00,18:30
6,Cerrado,Cerrado,Media Luna,0.00,Cerrado,00:00,00:00
7,Los Dones Del Sabor,Comida Rapida,Media Luna,45.00,Abierto,12:00,18:00
8,Dulces Y Refrescos,Comida Rapida,Media Luna,45.00,Abierto,09:30,17:30
9,Tacos De Guisado,Tacos,Media Luna,30.00,Abierto,11:30,17:30
10,Gemela Derecha,Comida Rapida,Estacionamiento,60.00,Abierto,07:00,20:00
11,Gemela Izquierda,Comida Rapida,Estacionamiento,70.00,Abierto,09:30,19:00
12,La Michoacana,Postres,Puestos,30.00,Abierto,10:00,17:00
13,Nikkei,Asiatica,Comedor,60.00,Abierto,11:30,18:00
14,Harry's,Comida Rapida,Comedor,50.00,Abierto,08:00,19:00
15,Tía Aly,Comida Completa,Comedor,50.00,Abierto,09:30,18:00
16,Chilaquiles,Comida Rapida,Comedor,60.00,Abierto,08:30,19:30
17,Brujita De Limón,Postres,Puestos,30.00,Abierto,07:00,20:00
18,Pan Y Postres,Postres,Puestos,30.00,Abierto,09:30,19:00
19,Tienda O,Snacks,Edificio O,25.00,Abierto,06:30,21:00
20,Fresurita,Postres,Puestos,50.00,Abierto,08:00,15:30
21,Tienda Fondo,Snacks y Dulces,Comedor,20.00,Abierto,08:00,19:00
22,Tienda Inicio,Snacks,Comedor,30.00,Abierto,07:00,21:30
23,Cafetería,Comida Completa,Comedor,38.00,Abierto,07:00,20:00
